"AQI_NO2","NO2.GT.","RH","CO.GT.","T","C6H6.GT.","NOx.GT."
101.168048013718,113,48.9,2.6,13.6,11.9,166
91.4782608695652,92,47.7,2,13.3,9.4,103
101.182052014861,114,54,2.2,11.9,9,131
101.294084024007,122,60,2.2,11,9.2,172
101.210060017148,116,59.6,1.6,11.2,6.5,131
95.7391304347826,96,59.2,1.2,11.2,4.7,89
75.5,77,56.8,1.2,11.3,3.6,62
74.4347826086957,76,60,1,10.7,3.3,62
57.3913043478261,60,59.7,0.9,10.7,2.3,45
26.4150943396226,28,56.2,0.7,11,1.1,16
45.2830188679245,48,58.1,0.7,10.5,1.6,34
80.8260869565217,82,59.6,1.1,10.2,3.2,98
101.154044012575,112,57.4,2,10.8,8,174
101,101,60.6,2.2,10.5,9.5,129
97.8695652173913,98,58.4,1.7,10.8,6.3,112
91.4782608695652,92,57.9,1.5,10.5,5,95
94.6739130434783,95,66.8,1.6,9.5,5.2,104
101.154044012575,112,76.4,1.9,8.3,7.3,146
101.378108030866,128,81.1,2.9,8,11.5,207
101.35010002858,126,79.8,2.2,8.3,8.8,184
101.420120034296,131,71.2,2.2,9.7,8.3,193
101.476136038868,135,67.6,2.9,9.8,11.2,243
101.700200057159,151,64.2,4.8,10.3,20.8,281
101.994284081166,172,69.3,6.9,9.7,27.4,383
101.896256073164,165,67.8,6.1,9.6,24,351
101.490140040011,136,64,3.9,9.1,12.8,240
84.0217391304348,85,63.4,1.5,8.2,4.7,94
50,53,60.8,1,8.2,2.6,47
96.804347826087,97,58.5,1.7,8.3,5.9,122
101.126036010289,110,59.7,1.9,7.7,6.4,133
90.4130434782609,91,61.8,1.4,7.1,4.1,82
41.5094339622642,44,65,0.6,6.3,1,30
69.1086956521739,71,62.9,0.8,6.8,1.8,56
101.04201200343,104,65.1,1.4,6.4,4.4,109
101.560160045727,141,63.1,4.4,7.3,17.9,307
101.294084024007,122,41.7,3.1,13.2,14,187
101.588168048014,143,38.4,2.7,14.3,11.6,216
101.168048013718,113,36.5,2.1,15,10.2,143
101.210060017148,116,34.5,2.5,16.1,11,160
101.30808802515,123,35.7,2.7,16.3,12.8,163
101.35010002858,126,37,2.9,15.8,14.2,190
101.26607602172,120,37.2,2.8,15.9,12.7,178
101.252072020577,119,34.3,2.4,16.9,11.7,150
101.672192054873,149,39.6,3.9,15.1,19.3,206
101.6161760503,145,43.4,3.7,14.4,18.2,202
101.96627607888,170,50.5,6.6,12.9,32.6,340
101.672192054873,149,53.3,4.4,12.1,20.1,274
101.532152043441,139,59.1,3.5,11,14.3,253
101.462132037725,134,64.6,5.4,9.7,21.8,300
101.168048013718,113,64.1,2.7,9.5,9.6,193
96.804347826087,97,63.9,1.9,9.1,7.4,139
80.8260869565217,82,63.9,1.6,8.8,5.4,83
62.7173913043478,65,63.6,1,8.3,2.6,62
57.3913043478261,60,67.5,1.2,7.2,2.9,53
75.5,77,71.9,1.5,6.3,5.1,139
95.7391304347826,96,71.6,2.7,6.5,11.8,256
101.252072020577,119,59.7,3.7,9.6,15.1,295
101.35010002858,126,51.2,3.2,12.4,12.9,250
101.798228065161,158,42.2,4.1,15.6,16.1,296
101.840240068591,161,33.8,3.6,18.4,14,239
101.322092026293,124,31.3,2.8,19.4,12.3,153
101.014004001143,102,34.8,2,18,8.6,118
101.210060017148,116,33.6,2,18.4,9.2,119
101.322092026293,124,35.1,2.5,17.6,10.2,138
101.336096027436,125,37.8,2.3,16.7,10.6,148
101.65818805373,148,41,3.2,16.1,15.5,227
101.896256073164,165,42.4,4.2,15.8,19.6,277
101.840240068591,161,44.1,4.2,15.7,19.2,279
101.812232066305,159,46.8,4.2,15.3,18.3,283
101.588168048014,143,48.6,3.1,14.6,13.1,214
101.406116033152,130,49.3,2.6,14.7,10.9,172
101.392112032009,129,53.6,2.9,13.9,11,190
101.252072020577,119,51.5,2.8,14.6,11.9,174
